student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,absences,G1,G2,G3,ClusterID,Recommendation,Tools
24,0,1,0.1428571428571428,1,1,1,0.5,0.5,2,2,3,1,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.5263157894736842,0.5263157894736842,0.5263157894736842,3,"Foundations & attendance: Start with basics, improve class attendance, remedial practice.","Guided tutorials, mentor sessions, basic practice worksheets"
25,0,0,0.0,0,0,1,0.5,1.0,3,1,0,1,0.0,0.6666666666666667,0.0,0.0625,0.5263157894736842,0.5789473684210527,0.5263157894736842,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
26,0,0,0.1428571428571428,1,0,1,0.5,0.5,3,3,1,1,0.0,0.0,0.0,0.1875,0.5263157894736842,0.5789473684210527,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
27,0,1,0.0,1,0,1,0.5,0.5,2,2,1,1,0.0,0.0,0.0,0.25,0.5789473684210527,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
28,0,1,0.0,1,0,1,1.0,0.5,1,3,2,1,0.0,0.0,0.0,0.0,0.5789473684210527,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
29,0,1,0.1428571428571428,1,1,0,0.75,1.0,3,2,1,1,0.0,0.3333333333333333,0.0,0.0625,0.631578947368421,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
30,0,1,0.1428571428571428,1,0,1,1.0,1.0,4,4,1,1,0.0,0.3333333333333333,0.0,0.125,0.631578947368421,0.5789473684210527,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
31,0,1,0.0,1,0,1,1.0,1.0,1,3,1,1,0.0,0.3333333333333333,0.0,0.0,0.5263157894736842,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
32,0,1,0.0,1,0,1,1.0,1.0,3,3,3,1,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.7894736842105263,0.7894736842105263,0.7894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
33,0,1,0.0,0,0,1,1.0,0.75,4,0,0,1,0.0,0.3333333333333333,0.0,0.0,0.6842105263157894,0.7368421052631579,0.7894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
34,0,1,0.0,1,1,1,0.75,0.75,2,2,0,1,0.0,0.3333333333333333,0.0,0.0,0.6842105263157894,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
35,0,1,0.1428571428571428,1,0,1,0.75,0.5,2,2,1,1,0.0,0.0,0.0,0.125,0.631578947368421,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
36,0,0,0.0,1,0,1,0.5,0.75,2,2,2,0,0.3333333333333333,0.0,0.0,0.125,0.5789473684210527,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
37,0,1,0.0,1,1,1,1.0,0.75,4,3,1,1,0.0,0.6666666666666667,0.0,0.0,0.7368421052631579,0.7368421052631579,0.7368421052631579,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
38,0,1,0.1428571428571428,0,0,0,1.0,1.0,2,4,3,1,0.3333333333333333,0.6666666666666667,0.0,0.125,0.6842105263157894,0.6842105263157894,0.6842105263157894,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
39,0,0,0.0,0,0,1,0.75,1.0,3,1,0,1,0.0,0.6666666666666667,0.0,0.0625,0.5789473684210527,0.631578947368421,0.631578947368421,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
40,0,0,0.0,0,0,1,0.5,0.5,0,2,3,1,0.0,0.0,0.0,0.25,0.7368421052631579,0.6842105263157894,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
41,0,0,0.1428571428571428,1,1,1,0.5,0.5,2,2,1,1,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5789473684210527,0.5789473684210527,0.5263157894736842,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
42,0,1,0.0,1,1,1,1.0,1.0,4,2,1,2,0.0,0.0,0.0,0.25,0.5263157894736842,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
43,0,1,0.0,1,0,1,1.0,1.0,3,4,0,0,0.0,0.3333333333333333,0.0,0.0,0.7368421052631579,0.7894736842105263,0.7894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
44,0,1,0.0,1,0,1,0.5,0.5,3,3,0,0,0.0,0.0,0.0,0.0,0.4736842105263157,0.5263157894736842,0.5263157894736842,3,"Foundations & attendance: Start with basics, improve class attendance, remedial practice.","Guided tutorials, mentor sessions, basic practice worksheets"
45,0,0,0.1428571428571428,1,1,1,0.5,0.5,2,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4375,0.5263157894736842,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
46,0,0,0.0,1,1,0,1.0,0.75,2,2,0,1,0.0,0.3333333333333333,0.0,0.125,0.5263157894736842,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
47,0,0,0.1428571428571428,1,1,0,0.75,0.75,2,3,1,1,0.0,0.3333333333333333,0.0,0.1875,0.6842105263157894,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
48,0,1,0.1428571428571428,1,0,1,1.0,0.75,1,3,3,1,0.0,1.0,0.0,0.0625,0.894736842105263,0.894736842105263,0.894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
49,0,1,0.0,1,0,1,1.0,0.5,4,2,1,1,0.0,0.3333333333333333,0.0,0.125,0.5789473684210527,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
50,0,0,0.0,1,0,1,1.0,1.0,3,4,2,0,0.0,0.3333333333333333,0.0,0.0625,0.6842105263157894,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
51,0,0,0.1428571428571428,1,1,1,0.5,0.5,3,3,0,1,0.6666666666666667,0.3333333333333333,0.0,0.0,0.7368421052631579,0.6842105263157894,0.6842105263157894,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
52,0,0,0.0,1,1,1,1.0,0.5,1,2,2,1,0.0,0.3333333333333333,0.0,0.0,0.8421052631578947,0.7368421052631579,0.8421052631578947,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
53,0,1,0.0,1,1,0,1.0,0.5,1,1,2,0,0.3333333333333333,0.0,0.0,0.125,0.5263157894736842,0.4736842105263157,0.4736842105263157,3,"Foundations & attendance: Start with basics, improve class attendance, remedial practice.","Guided tutorials, mentor sessions, basic practice worksheets"
54,0,0,0.0,1,0,1,1.0,1.0,3,3,0,1,0.0,0.0,0.0,0.0,0.6842105263157894,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
55,0,0,0.0,1,1,0,0.75,0.75,2,2,2,1,0.0,0.0,0.0,0.0,0.6842105263157894,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
56,0,0,0.1428571428571428,1,0,0,0.5,0.25,2,2,2,1,0.0,0.3333333333333333,0.0,0.0625,0.631578947368421,0.6842105263157894,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
57,0,0,0.0,1,0,0,1.0,0.75,3,3,3,1,0.0,0.3333333333333333,0.0,0.0,0.7894736842105263,0.7368421052631579,0.7894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
58,0,1,0.0,1,0,1,1.0,1.0,4,1,3,1,0.0,0.3333333333333333,0.0,0.25,0.7894736842105263,0.7894736842105263,0.8421052631578947,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
59,0,1,0.0,1,1,1,0.25,0.5,2,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.7368421052631579,0.6842105263157894,0.7368421052631579,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
60,0,0,0.1428571428571428,1,0,1,1.0,0.5,3,2,0,1,0.0,0.3333333333333333,0.0,0.0625,0.8421052631578947,0.7894736842105263,0.8421052631578947,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
61,0,0,0.1428571428571428,0,0,1,1.0,1.0,1,4,2,1,0.0,0.3333333333333333,0.0,0.0,0.894736842105263,0.8421052631578947,0.8421052631578947,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
62,0,0,0.1428571428571428,1,0,1,0.25,0.25,3,3,0,0,1.0,0.0,0.0,0.0,0.5263157894736842,0.5263157894736842,0.8421052631578947,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
63,0,0,0.1428571428571428,1,1,1,0.25,0.5,2,3,3,0,0.0,0.3333333333333333,0.0,0.0,0.6842105263157894,0.6842105263157894,0.5263157894736842,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
64,0,0,0.1428571428571428,1,0,1,1.0,0.75,4,1,1,1,0.0,0.6666666666666667,0.0,0.0,0.7368421052631579,0.6842105263157894,0.6842105263157894,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
65,0,0,0.0,1,1,1,1.0,0.75,3,3,3,0,0.0,0.3333333333333333,0.0,0.0,0.6842105263157894,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
66,0,0,0.1428571428571428,1,1,1,1.0,0.75,4,3,0,1,0.6666666666666667,0.3333333333333333,0.0,0.0625,0.8421052631578947,0.7894736842105263,0.8421052631578947,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
67,0,1,0.0,1,0,0,1.0,1.0,2,3,3,1,0.0,1.0,0.0,0.0,0.5789473684210527,0.631578947368421,0.631578947368421,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
68,0,0,0.1428571428571428,1,0,1,0.75,0.25,3,2,0,1,0.0,1.0,0.0,0.0,0.5263157894736842,0.4736842105263157,0.5263157894736842,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
69,0,0,0.0,0,1,1,0.5,0.5,1,3,3,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5789473684210527,0.5263157894736842,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
70,0,0,0.0,0,1,1,0.75,0.25,2,2,3,0,0.3333333333333333,1.0,0.0,0.1875,0.7894736842105263,0.7894736842105263,0.7894736842105263,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
71,0,1,0.1428571428571428,1,0,1,0.75,0.25,2,2,3,0,0.3333333333333333,1.0,0.0,0.0625,0.6842105263157894,0.5789473684210527,0.5789473684210527,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
72,0,1,0.0,1,0,1,1.0,0.5,2,2,0,1,0.0,1.0,0.0,0.0,0.5789473684210527,0.4736842105263157,0.5263157894736842,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
73,0,0,0.0,0,0,1,0.25,0.25,2,2,3,1,0.0,0.3333333333333333,0.0,0.0625,0.6842105263157894,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
74,0,1,0.1428571428571428,1,0,1,0.75,0.25,2,2,3,1,0.0,0.0,0.0,0.0,0.6842105263157894,0.6842105263157894,0.7368421052631579,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
75,0,0,0.1428571428571428,1,0,1,0.75,0.75,2,3,1,1,0.0,0.3333333333333333,0.0,0.125,0.5789473684210527,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
76,0,1,0.0,1,0,1,1.0,0.75,4,2,1,1,0.0,0.3333333333333333,0.0,0.0,0.5789473684210527,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
77,0,1,0.0,1,0,1,1.0,0.0,4,2,0,1,0.3333333333333333,1.0,0.0,0.0,0.631578947368421,0.5789473684210527,0.5789473684210527,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
78,0,0,0.1428571428571428,1,0,1,0.5,0.5,2,2,3,1,0.0,1.0,0.0,0.03125,0.6842105263157894,0.6842105263157894,0.6842105263157894,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
79,0,1,0.2857142857142856,1,0,1,0.5,0.25,2,2,1,1,0.3333333333333333,0.0,1.0,0.0,0.4736842105263157,0.4736842105263157,0.5263157894736842,3,"Foundations & attendance: Start with basics, improve class attendance, remedial practice.","Guided tutorials, mentor sessions, basic practice worksheets"
80,0,0,0.1428571428571428,1,0,1,0.75,1.0,0,2,0,1,0.0,0.3333333333333333,0.0,0.4375,0.631578947368421,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
81,0,1,0.0,1,0,1,0.5,0.75,2,3,0,0,0.0,0.0,0.0,0.0,0.5789473684210527,0.5789473684210527,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
82,0,1,0.0,1,0,1,0.5,0.75,2,2,1,1,0.0,0.6666666666666667,0.0,0.0625,0.5263157894736842,0.4736842105263157,0.4736842105263157,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
83,0,0,0.0,1,1,1,0.75,0.5,3,2,3,1,0.0,0.3333333333333333,0.0,0.125,0.631578947368421,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
84,0,1,0.0,1,1,1,0.5,0.5,3,3,1,1,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.6842105263157894,0.631578947368421,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
85,0,0,0.0,1,0,1,0.25,0.25,2,2,1,0,0.0,0.3333333333333333,0.0,0.0625,0.6842105263157894,0.631578947368421,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
86,0,0,0.0,1,0,1,1.0,1.0,3,3,3,0,0.3333333333333333,0.3333333333333333,0.0,0.125,0.631578947368421,0.5789473684210527,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
87,0,0,0.1428571428571428,1,1,1,0.5,0.5,0,2,0,1,0.0,0.3333333333333333,0.0,0.1875,0.6842105263157894,0.5789473684210527,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
88,0,0,0.0,1,0,1,1.0,0.5,2,2,3,1,0.0,0.6666666666666667,0.0,0.125,0.7894736842105263,0.7894736842105263,0.7894736842105263,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
89,0,1,0.1428571428571428,1,0,1,0.5,0.5,3,2,3,0,0.3333333333333333,0.3333333333333333,0.0,0.1875,0.631578947368421,0.5263157894736842,0.5789473684210527,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
90,0,1,0.1428571428571428,1,1,0,1.0,1.0,4,1,3,1,0.0,0.3333333333333333,0.0,0.1875,0.4736842105263157,0.4736842105263157,0.5263157894736842,3,"Foundations & attendance: Start with basics, improve class attendance, remedial practice.","Guided tutorials, mentor sessions, basic practice worksheets"
91,0,0,0.1428571428571428,1,0,1,0.75,0.75,2,2,1,1,0.0,0.6666666666666667,0.0,0.0625,0.4736842105263157,0.5789473684210527,0.5789473684210527,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
92,0,0,0.0,1,0,1,1.0,0.75,3,2,3,1,0.0,0.0,0.0,0.1875,0.7368421052631579,0.6842105263157894,0.6842105263157894,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
93,0,0,0.1428571428571428,1,1,1,0.75,0.25,2,2,1,0,0.0,0.3333333333333333,0.0,0.0,0.631578947368421,0.6842105263157894,0.631578947368421,2,"Increase consistency: Set daily goals, short study blocks and weekly revision.","Pomodoro timers, structured weekly plan templates, Khan Academy basics"
94,0,0,0.1428571428571428,1,0,1,1.0,0.5,4,3,1,1,0.3333333333333333,0.3333333333333333,0.0,0.0625,0.6842105263157894,0.7368421052631579,0.7368421052631579,0,Maintain routine: Continue current study schedule; focus on advanced topics & peer teaching.,"Advanced MOOCs, Competitive practice (LeetCode/Project tasks), Research papers"
95,0,1,0.0,1,1,1,0.5,0.5,3,1,3,1,0.0,1.0,0.0,0.0625,0.5789473684210527,0.631578947368421,0.631578947368421,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
96,0,0,0.0,0,0,1,0.25,0.25,0,2,1,1,0.3333333333333333,1.0,0.0,0.125,0.6842105263157894,0.6842105263157894,0.6842105263157894,1,Optimize study method: Use active recall & mock tests; shift to quality practice over hours.,"Spaced repetition apps, timed mock tests, concept-check quizzes"
